YearMonth,Consumption(kwh),Revenue,AvgPrice,Revenue_per_kWh
2024-05,51.1,7.654270666666667,135.74843189964156,0.14979003261578605
2024-06,50.1,12.090208166666667,176.74708449074075,0.24132152029274784
2024-07,55.900000000000006,15.141995833333334,241.14409050179214,0.2708764907573047
2024-08,65.60000000000001,15.545960000000001,149.4078830645161,0.2369810975609756
2024-09,73.4,10.773803666666666,80.37088541666667,0.14678206630336055
2024-10,77.9,0.5476503333333332,35.232756496415774,0.007030171159606332
2024-11,72.4,3.792146166666667,60.91955324074074,0.052377709484346224
2024-12,67.2,2.877788166666667,61.433484644698495,0.04282422867063492
2025-01,69.3,2.6892113333333336,48.1833792562724,0.03880535834535835
2025-02,58.0,8.950734500000001,91.39309523809524,0.15432300862068968
2025-03,61.0,3.3552703333333334,61.72063396057347,0.055004431693989074
2025-04,53.1,4.425204,88.84761574074074,0.08333717514124293
